provincia_canton_distrito,Población de 15 años y más,Tasa neta de participación,Tasa de ocupación,Tasa de desempleo abierto,Porcentaje de población económicamente inactiva,Relación de dependencia económica
,,,,,,
Costa Rica ,3 233 882,53.5,51.7,3.4,46.5,1.5
,,,,,,
San José,1 087 315,56.0,54.1,3.5,44.0,1.3
,,,,,,
San José, 225 856,56.7,54.5,3.9,43.3,1.2
,,,,,,
Carmen           , 2 431,56.3,54.8,2.7,43.7,1.0
Merced         , 9 655,59.2,57.0,3.8,40.8,1.1
Hospital          , 15 096,56.4,53.9,4.4,43.6,1.3
Catedral          , 10 742,59.0,57.0,3.4,41.0,1.0
Zapote          , 15 545,55.7,54.0,2.9,44.3,1.2
San Francisco de Dos Ríos, 16 895,57.4,56.1,2.3,42.6,1.1
Uruca            , 22 717,59.0,56.6,4.0,41.0,1.4
Mata Redonda      , 7 077,54.0,52.2,3.4,46.0,1.2
Pavas            , 54 510,56.3,53.9,4.2,43.7,1.3
Hatillo           , 39 555,54.7,52.2,4.6,45.3,1.3
San Sebastián     , 31 633,57.5,55.1,4.1,42.5,1.2
,,,,,,
Escazú, 44 797,60.7,58.9,3.0,39.3,1.1
,,,,,,
Escazú            , 9 580,58.7,56.7,3.4,41.3,1.1
San Antonio       , 17 544,60.6,58.7,3.0,39.4,1.1
San Rafael        , 17 673,61.9,60.2,2.9,38.1,1.0
,,,,,,
Desamparados, 159 292,57.0,54.7,4.0,43.0,1.3
,,,,,,
Desamparados      , 26 951,59.3,56.4,4.8,40.7,1.1
San Miguel        , 24 071,57.1,54.9,3.9,42.9,1.3
San Juan de Dios  , 14 462,56.7,54.7,3.6,43.3,1.4
San Rafael Arriba , 11 832,56.1,54.0,3.8,43.9,1.3
San Antonio       , 7 928,58.8,57.1,2.9,41.2,1.1
Frailes           , 2 844,50.7,48.6,4.2,49.3,1.6
Patarrá          , 8 817,55.6,53.5,3.8,44.4,1.4
San Cristóbal     , 2 839,51.8,50.7,2.3,48.2,1.7
